ID,Name,Description,CLTS_BIPA,CLTS_Name,LAPSYD_Features
j_u006Au0325,j̥,pulmonic approximant voiceless palatal,j̊,devoiced voiced palatal approximant consonant,pulmonic approximant voiceless palatal
l_u026Cu02BC,ɬʼ,ejective fricative lateral alveolar,ɬʼ,voiceless alveolar ejective lateral fricative consonant,ejective fricative lateral alveolar
tsh_u0074u032Au0073u032Au02B0,t̪s̪ʰ,pulmonic affricate sibilant aspirated voiceless dental,ts̪ʰ,aspirated voiceless dental sibilant affricate consonant,pulmonic affricate sibilant aspirated voiceless dental
d_u0257u032A,ɗ̪,implosive stop voiced dental,ɗ,voiced dental implosive consonant,implosive stop voiced dental
kh_u006Bu01C0u02B0,kǀʰ,click stop aspirated voiceless dental velar,ǀʰ,aspirated voiceless dental click consonant,click stop aspirated voiceless dental velar
rj_u0280u02B2,ʀʲ,pulmonic trill voiced palatalized uvular,ʀʲ,palatalized voiced uvular trill consonant,pulmonic trill voiced palatalized uvular
k_u006Bu01C1,kǁ,click stop lateral voiceless alveolar velar,ǁ,voiceless alveolar lateral click consonant,click stop lateral voiceless alveolar velar
iu_u0069u0075,iu,diphtong high front back unrounded rounded backing rounding,iu,from unrounded close front to rounded close back diphthong,diphtong high front back unrounded rounded backing rounding
bw_u0062u02B7,bʷ,pulmonic stop voiced labialized bilabial,bʷ,labialized voiced bilabial stop consonant,pulmonic stop voiced labialized bilabial
tsw_u0074u0073u02B7u02BC,tsʷʼ,ejective affricate sibilant labialized alveolar,tsʼʷ,labialized voiceless alveolar ejective sibilant affricate consonant,ejective affricate sibilant labialized alveolar
jj_u025Fu029D,ɟʝ,pulmonic affricate voiced palatal,ɟʝ,voiced palatal affricate consonant,pulmonic affricate voiced palatal
ts_u0074u0073u032B,ts̫,pulmonic affricate sibilant voiceless alveolar whistled,ts̫,voiceless alveolar whistled-sibilant affricate consonant,pulmonic affricate sibilant voiceless alveolar whistled
o_u006Fu0330,o̰,laryngealized higher mid back rounded,o̰,creaky rounded close-mid back vowel,laryngealized higher mid back rounded
d_u0256,ɖ,pulmonic stop voiced retroflex,ɖ,voiced retroflex stop consonant,pulmonic stop voiced retroflex
o_u00F8u02D0,øː,long higher mid front rounded,øː,long rounded close-mid front vowel,long higher mid front rounded
qwh_u0071u02B7u02B0,qʷʰ,pulmonic stop aspirated voiceless labialized uvular,qʷʰ,labialized aspirated voiceless uvular stop consonant,pulmonic stop aspirated voiceless labialized uvular
ngx_u014Bu0325u01C0u0078,ŋ̥ǀx,click fricative nasal voiceless dental velar,ⁿǀ,pre-nasalized voiceless dental click consonant,click fricative nasal voiceless dental velar
nw_u006Eu02B7,nʷ,pulmonic nasal voiced labialized unspecified coronal place,nʷ,labialized voiced alveolar nasal consonant,pulmonic nasal voiced labialized unspecified coronal place
e_u0065u0330u0259u0330,ḛə̰,laryngealized diphtong higher mid front central unrounded backing,ḛə̰,from creaky unrounded close-mid front to creaky unrounded mid central diphthong,laryngealized diphtong higher mid front central unrounded backing
dz_u0064u0320u0292u032B,d̠ʒ̫,pulmonic affricate sibilant voiced palato-alveolar retracted whistled,d̠ʒ̫,voiced post-alveolar whistled-sibilant affricate consonant,pulmonic affricate sibilant voiced palato-alveolar retracted whistled
sj_u0073u02B2,sʲ,pulmonic fricative sibilant voiceless palatalized alveolar,sʲ,palatalized voiceless alveolar sibilant fricative consonant,pulmonic fricative sibilant voiceless palatalized alveolar
