ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Glottolog_Name
abkhaz_abkh1244,Abkhaz,Eurasia,43.056218,41.159115,abkh1244,,Abkhaz-Adyge,Abkhaz
achirabinaldialect_achi1256,"Achi', Rabinal dialect",North America,15.073,-90.3513,achi1256,,Mayan,Achi
achumawi_achu1247,Achumawi,North America,41.0979,-121.191,achu1247,,Palaihnihan,Achumawi
adjukru_adio1239,Adjukru,Africa,5.38228,-4.52522,adio1239,,Atlantic-Congo,Adioukrou
adzera_adze1240,Adzera,Papunesia,-6.39394,146.294,adze1240,,Austronesian,Adzera
amele_amel1241,Amele,Papunesia,-5.29126,145.687,amel1241,,Nuclear Trans New Guinea,Amele
angaatiha_anga1290,Angaatiha,Papunesia,-7.15012,146.352,anga1290,,Angan,Angaataha
aghem_aghe1239,Aghem,Africa,6.38956,10.0807,aghe1239,,Atlantic-Congo,Aghem
ahtna_ahte1237,Ahtna,North America,61.7068,-144.889,ahte1237,,Athabaskan-Eyak-Tlingit,Ahtena
anguthimri_alng1239,Anguthimri,Australia,-12.5324,141.938,alng1239,,Pama-Nyungan,Alngith
ainuhokkaidodialect_ainu1240,"Ainu, Hokkaido dialect",Eurasia,43.633654,142.46167,ainu1240,,Ainu,Hokkaido Ainu
mpur_mpur1239,Mpur,Papunesia,-0.7489,133.166,mpur1239,,,Mpur
alabama_alab1237,Alabama,North America,30.76738,-94.62848,alab1237,,Muskogean,Alabama
qawasqar_qawa1238,Qawasqar,South America,-49.303195,-74.707536,qawa1238,,Kawesqar,Qawasqar
aleuteastern_east2533,"Aleut, Eastern",North America,,,east2533,,Eskimo-Aleut,Eastern Aleut
alawa_alaw1244,Alawa,Australia,-15.5458,134.282,alaw1244,,Mangarrayi-Maran,Alawa
albaniantoskdialect_tosk1239,"Albanian, Tosk dialect",Eurasia,41.0,20.0,tosk1239,,Indo-European,Northern Tosk Albanian
amahuaca_amah1246,Amahuaca,South America,-10.2012,-72.3208,amah1246,,Pano-Tacanan,Amahuaca
yanesha_yane1238,Yanesha',South America,-10.5454,-75.315,yane1238,,Arawakan,Yanesha'
amharic_amha1245,Amharic,Africa,11.708182,39.543456,amha1245,,Afro-Asiatic,Amharic
alamblak_alam1246,Alamblak,Papunesia,-4.66307,143.316,alam1246,,Sepik,Alamblak
