ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Marginal,Catalog,Contribution_ID
1,emmi_amii1238,BIPA_l_u006C,l,,,,false,lapsyd,emmi
2,achirabinaldialect_achi1256,BIPA_j_u006A,j,,,,false,lapsyd,achirabinaldialect
3,angas_ngas1240,BIPA_mj_u006Du02B2,mʲ,,,,false,lapsyd,angas
4,igbo_nucl1417,BIPA_l_u006C,l,,,,false,lapsyd,igbo
5,alabama_alab1237,BIPA_p_u0070,p,,,,false,lapsyd,alabama
6,siwi_siwi1239,BIPA_g_u0261,ɡ,,,,false,lapsyd,siwi
7,hungarian_hung1274,BIPA_o_u006F,o,,,,false,lapsyd,hungarian
8,hlailauhutbaodingdialect_hlai1239,BIPA_e_u0065u02D0,'eː',,,,true,lapsyd,hlailauhutbaodingdialect
9,capeverdecreolesantiagodialect_kabu1256,BIPA_u_u0075,u,,,,false,lapsyd,capeverdecreolesantiagodialect
10,purepecha_pure1242,BIPA_kw_u006Bu02B7,kʷ,,,,false,lapsyd,purepecha
12,sedang_seda1262,BIPA_mb_u006Du0062,mb,,,,false,lapsyd,sedang
13,suena_suen1241,BIPA_s_u0073,s,,,,false,lapsyd,suena
14,hatamtinamdialect_tina1247,BIPA_ng_u014B,ŋ,,,,false,lapsyd,hatamtinamdialect
15,ndyuka_ndyu1242,BIPA_p_u0070,p,,,,false,lapsyd,ndyuka
16,hanis_coos1249,BIPA_s_u0073,s,,,,false,lapsyd,hanis
17,warayaustralia_wara1290,BIPA_k_u006B,k,,,,false,lapsyd,warayaustralia
18,totonacmisantladialect_yecu1235,BIPA__u0294,ʔ,,,,false,lapsyd,totonacmisantladialect
19,mandarin_mand1415,BIPA_p_u0070,p,,,,false,lapsyd,mandarin
20,namakir_nama1268,BIPA_r_u0072,r,,,,false,lapsyd,namakir
21,meithei_mani1292,BIPA_d_u0064u0324,d̤,,,,false,lapsyd,meithei
22,pacoh_paco1243,BIPA_e_u025Bu02D0,ɛː,,,,false,lapsyd,pacoh
24,noon_noon1242,BIPA_e_u0065u02D0,eː,,,,false,lapsyd,noon
25,nung_nung1283,BIPA_tsh_u0074u0320u0283u02B0,t̠ʃʰ,,,,false,lapsyd,nung
26,basquecentral_basq1248,BIPA_r_u027E,ɾ,,,,false,lapsyd,basquecentral
27,cofan_cofa1242,BIPA_o_u00F5,õ,,,,false,lapsyd,cofan
28,bats_bats1242,BIPA_u_u0075,u,,,,false,lapsyd,bats
29,bengali_beng1280,BIPA_l_u006C,l,,,,false,lapsyd,bengali
30,amharic_amha1245,BIPA_a_u0061,a,,,,false,lapsyd,amharic
32,maithili_mait1250,BIPA_d_u0256,ɖ,,,,false,lapsyd,maithili
33,hupa_hupa1239,BIPA_o_u006Fu02D0,oː,,,,false,lapsyd,hupa
34,kunwinjku_gunw1252,BIPA_m_u006D,m,,,,false,lapsyd,kunwinjku
35,toaripi_toar1246,BIPA_l_u006C,l,,,,false,lapsyd,toaripi
37,sumu_maya1285,BIPA_ng_u014B,ŋ,,,,false,lapsyd,sumu
39,hausa_haus1257,BIPA_w_u0077,w,,,,false,lapsyd,hausa
40,ayoreo_ayor1240,BIPA_n_u006Eu032Au0325,n̪̥,,,,false,lapsyd,ayoreo
41,chimila_chim1309,BIPA__u0294,ʔ,,,,false,lapsyd,chimila
42,ngiti_ngit1239,BIPA_o_u006F,o,,,,false,lapsyd,ngiti
